coin,timestamp,price,volume_24h,price_change_24h,high_24h,low_24h,spread,volatility_7d,momentum_3d,momentum_7d,volume_trend_7d,price_vs_sma20,market_activity,price_volatility,liquidity_score,sentiment_numeric,whale_detected_numeric,whale_score
BAND,2025-08-11T07:53:35.593172,0.744,2798.40678747,-1.976284584980237,0.759,0.744,0.002688172043010755,0.019762845849802372,-0.009881422924901186,-0.005928853754940711,0.1,0.0,2798.40678747,0.019762845849802372,0.7937162812099595,0.5,0,1.587432562419919
BAT,2025-08-11T07:53:35.593340,0.15659,66229.20802179,-0.0191546418081981,0.16019,0.15455,0.0010217766140877035,0.000191546418081981,-9.57732090409905e-05,-5.74639254245943e-05,0.1,0.0,66229.20802179,0.000191546418081981,1.0,0.5,0,2.220178390474767
BCH,2025-08-11T07:53:35.593523,574.5,2377.86171093,0.7541213609259908,585.32,560.0,0.001,0.007541213609259908,0.003770606804629954,0.002262364082777972,0.1,0.0,2377.86171093,0.007541213609259908,0.7774377379538155,0.5,0,1.554875475907631
BDXN,2025-08-11T07:53:35.593683,0.04393,86807.73105,-2.356079128695266,0.04959,0.04393,0.002959253357614345,0.023560791286952657,-0.011780395643476329,-0.007068237386085797,0.1,0.0,86807.73105,0.023560791286952657,1.0,0.5,0,2.274292496744687
BEAM,2025-08-11T07:53:35.593820,0.00834,49940630.8568,-1.8823529411764706,0.00887,0.00774,0.0011990407673860423,0.018823529411764704,-0.009411764705882352,-0.005647058823529411,2.0,0.0,49940630.8568,0.018823529411764704,1.0,0.5,1,3.545269099010929
BERA,2025-08-11T07:53:35.593936,2.074,14989.47714,-0.2405002405002405,2.127,2.027,0.001,0.0024050024050024047,-0.0012025012025012024,-0.0007215007215007214,0.1,0.0,14989.47714,0.0024050024050024047,0.9615170421143764,0.5,0,1.9230340842287528
BICO,2025-08-11T07:53:35.594099,0.1181,217349.32973115,-0.5054759898904801,0.1249,0.1143,0.0016934801016088546,0.005054759898904801,-0.0025273799494524006,-0.0015164279696714402,0.21734932973115,0.0,217349.32973115,0.005054759898904801,1.0,0.5,0,2.4578531506934636
BIGTIME,2025-08-11T07:53:35.594248,0.0629,10657.09731,0.1592356687898089,0.0629,0.0602,0.0015898251192369296,0.001592356687898089,0.0007961783439490445,0.0004777070063694267,0.1,0.0,10657.09731,0.001592356687898089,0.927407519304586,0.5,0,1.854815038609172
BIO,2025-08-11T07:53:35.594395,0.1183,6765913.687,4.137323943661972,0.1223,0.11,0.001,0.04137323943661972,0.02068661971830986,0.012411971830985915,2.0,0.0,6765913.687,0.04137323943661972,1.0,0.5,0,3.1454816038337023
BIT,2025-08-11T07:53:35.594539,1.0293,16673.3809762,1.9108910891089108,1.0728,0.9376,0.06791023025357046,0.01910891089108911,0.009554455445544554,0.0057326732673267326,0.1,0.0,16673.3809762,0.01910891089108911,0.9721628747228188,0.5,0,1.9443257494456376
BLUR,2025-08-11T07:53:35.594682,0.087,163174.54665,-1.9165727170236753,0.0905,0.0865,0.00229885057471255,0.019165727170236752,-0.009582863585118376,-0.0057497181510710255,0.16317454665,0.0,163174.54665,0.019165727170236752,1.0,0.5,0,2.4005163747164144
BLZ,2025-08-11T07:53:35.594835,0.03785,218497.89063484,0.3978779840848806,0.03851,0.03689,0.0036988110964333216,0.003978779840848806,0.001989389920424403,0.0011936339522546418,0.21849789063484001,0.0,218497.89063484,0.003978779840848806,1.0,0.5,0,2.458907243263761
BMT,2025-08-11T07:53:35.595046,0.08846,450796.12539,4.835269021095046,0.09075,0.08398,0.001,0.04835269021095046,0.02417634510547523,0.014505807063285138,0.45079612539,0.0,450796.12539,0.04835269021095046,1.0,0.5,0,2.603754536888307
BNB,2025-08-11T07:53:35.595190,813.3,437.6328,0.7369790053879977,826.55,794.32,0.001,0.007369790053879976,0.003684895026939988,0.002210937016163993,0.1,0.0,437.6328,0.007369790053879976,0.6083662616589381,0.5,0,1.2167325233178763
